GROUP,SURVEY,SP,ID,PURPOSE,FIRST,TICKET,WHO,LUGGAGE,AGE,MALE,INCOME,GA,ORIGIN,DEST,TRAIN_AV,CAR_AV,SM_AV,TRAIN_TT,TRAIN_CO,TRAIN_HE,SM_TT,SM_CO,SM_HE,SM_SEATS,CAR_TT,CAR_CO,CHOICE
2,0,1,29,1,0,5,1,1,3,0,2,0,2,22,1,1,1,103,60,30,52,60,10,0,91,104,2
2,0,1,30,1,0,5,2,1,2,1,2,0,22,2,1,1,1,118,60,120,46,60,30,1,70,27,2
2,0,1,31,1,0,5,2,1,3,1,3,0,17,2,1,1,1,165,60,30,63,60,10,0,182,104,2
2,0,1,32,1,0,5,3,1,2,1,4,0,9,25,1,0,1,238,50,60,109,80,30,0,0,0,2
2,0,1,33,1,0,6,1,0,2,0,4,1,25,22,1,0,1,64,3120,120,40,3380,20,0,0,0,2
2,0,1,34,1,0,6,1,0,3,0,2,1,1,10,1,0,1,139,3120,30,77,3380,30,0,0,0,2
2,0,1,35,1,0,6,1,1,2,0,1,1,1,17,1,0,1,124,3120,60,68,3120,20,0,0,0,2
2,0,1,36,1,0,6,1,1,2,0,2,1,17,1,1,0,1,80,3120,120,38,4160,10,0,0,0,2
2,0,1,37,1,0,6,1,1,2,0,4,1,22,25,1,1,1,66,3120,30,35,3380,30,0,40,52,2
2,0,1,38,1,0,6,1,1,2,1,2,1,1,2,1,0,1,107,2340,60,56,3380,10,0,0,0,2
2,0,1,39,1,0,6,1,1,2,1,2,1,17,2,1,0,1,159,2600,120,55,3380,20,0,0,0,2
2,0,1,40,1,0,6,1,1,3,1,1,1,19,17,1,0,1,88,3120,30,41,3120,10,0,0,0,2
2,0,1,41,1,0,6,1,1,3,1,2,1,5,22,1,1,1,231,2340,30,123,3120,10,1,168,60,2
2,0,1,42,1,0,6,2,1,2,1,3,1,1,2,1,1,1,95,2600,30,37,3380,30,1,117,40,2
2,0,1,43,1,0,6,2,1,3,0,3,1,1,2,1,0,1,78,2340,30,34,3380,30,0,0,0,2
2,0,1,44,1,0,6,2,1,3,1,3,1,1,2,1,1,1,109,2600,120,62,3380,20,0,90,71,2
2,0,1,45,1,0,6,2,1,3,1,3,1,19,2,1,1,1,173,2600,30,97,3120,10,0,90,48,2
2,0,1,46,1,0,6,2,1,3,1,3,1,20,1,1,0,1,132,3120,30,83,4160,20,1,0,0,1
2,0,1,47,1,0,6,3,1,2,1,2,1,17,1,1,1,1,85,2600,30,39,4160,20,0,48,24,2
2,0,1,48,1,0,6,3,1,3,1,2,1,25,22,1,1,1,47,3120,30,25,4160,20,1,40,109,1
2,0,1,49,1,0,6,3,1,3,1,3,1,1,2,1,1,1,113,2600,30,55,3380,30,1,97,40,2
2,0,1,50,1,0,6,3,1,4,1,2,1,17,2,1,1,1,263,2340,120,126,3380,20,1,120,60,2
2,0,1,51,1,0,6,3,1,4,1,2,1,25,10,1,1,1,107,2600,30,81,3120,10,0,90,44,2
2,0,1,52,1,0,6,3,1,2,1,2,1,25,1,1,0,1,177,3120,30,58,3120,10,0,0,0,2
2,0,1,53,1,0,6,3,3,2,1,3,1,1,2,1,1,1,126,3120,30,80,3120,10,0,104,208,2
2,0,1,54,1,0,7,1,1,2,0,2,1,17,1,1,0,1,83,1665,60,34,2405,10,0,0,0,1
2,0,1,55,1,0,8,1,1,1,0,1,0,17,1,1,0,1,101,135,60,62,162,20,1,0,0,1
2,0,1,56,1,0,8,1,1,2,0,4,0,17,1,1,1,1,85,218,30,34,283,30,1,65,28,2
2,0,1,57,1,0,8,2,0,3,0,3,0,1,22,1,1,1,195,50,60,116,60,20,1,208,105,2
2,0,1,58,1,0,8,2,1,1,1,4,0,17,20,1,1,1,80,215,60,29,215,20,0,48,24,2
2,0,1,59,1,0,8,2,1,3,0,3,0,17,22,1,1,1,292,168,120,71,168,30,1,190,110,2
2,0,1,60,1,0,8,2,1,4,1,4,0,1,2,1,1,1,132,194,120,61,281,20,1,48,36,3
2,0,1,61,1,0,10,1,1,3,0,1,0,10,17,1,1,1,185,17,120,84,22,20,0,160,149,2
2,0,1,62,1,1,1,1,1,2,0,2,0,2,17,1,1,1,172,81,30,116,88,30,1,273,88,2
2,0,1,63,1,1,1,1,1,3,0,2,0,1,17,1,1,1,109,42,30,67,65,20,0,48,28,2
2,0,1,64,1,1,1,1,1,3,1,3,0,2,1,1,1,1,99,54,30,44,65,10,1,64,50,2
2,0,1,65,1,1,1,2,0,4,1,2,0,17,2,1,1,1,215,101,30,71,118,30,0,112,117,2
2,0,1,66,1,1,1,2,1,2,0,2,0,2,5,1,1,1,157,64,60,115,84,30,1,108,91,2
2,0,1,67,1,1,1,2,1,2,1,2,0,1,2,1,1,1,120,78,30,69,99,20,1,90,78,2
2,0,1,68,1,1,1,2,1,2,1,2,0,1,17,1,1,1,126,38,60,77,48,10,0,78,45,2
2,0,1,69,1,1,1,2,1,2,1,3,0,18,2,1,1,1,155,83,120,116,92,30,0,195,192,2
2,0,1,70,1,1,1,2,1,3,0,2,0,1,2,1,1,1,95,54,120,47,65,30,0,78,40,1
2,0,1,71,1,1,1,2,1,3,0,3,0,17,2,1,1,1,208,84,60,58,99,10,0,88,95,1
2,0,1,72,1,1,1,2,1,3,1,2,0,1,2,1,1,1,145,64,60,78,74,20,0,100,187,2
2,0,1,73,1,1,1,2,1,3,1,3,0,17,1,1,0,1,83,46,120,42,68,10,0,0,0,2
2,0,1,74,1,1,1,2,1,2,0,4,0,2,1,1,1,1,78,54,120,31,65,30,0,143,40,2
2,0,1,75,1,1,2,2,3,2,1,2,0,10,25,1,1,1,115,40,60,85,42,10,0,96,50,2
2,0,1,76,1,1,3,2,0,2,1,3,0,1,17,1,0,1,62,57,120,41,106,10,0,0,0,2
2,0,1,77,1,1,3,2,0,4,0,2,0,1,2,1,1,1,115,130,30,71,176,20,0,72,52,1
2,0,1,78,1,1,3,2,1,2,0,3,0,1,2,1,0,1,105,130,60,64,147,20,1,0,0,2
2,0,1,79,1,1,3,2,1,3,1,3,0,23,25,1,1,1,95,121,60,82,136,20,1,104,80,2
2,0,1,80,1,1,4,1,1,4,1,3,0,19,17,1,0,1,106,70,30,61,79,10,0,0,0,2
2,0,1,81,1,1,4,2,0,2,1,4,0,22,25,1,1,1,59,40,120,37,50,20,0,40,19,1
2,0,1,82,1,1,5,1,1,3,1,3,0,17,2,1,1,1,200,100,60,64,133,30,0,195,112,2
2,0,1,83,1,1,5,2,1,2,0,4,0,2,17,1,1,1,180,75,30,94,108,30,0,160,90,2
2,0,1,84,1,1,5,2,1,2,1,3,0,22,1,1,1,1,209,100,120,63,100,30,1,150,100,2
2,0,1,85,1,1,5,2,1,3,1,3,0,1,17,1,1,1,97,83,30,41,108,30,1,78,28,3
2,0,1,86,1,1,5,2,1,3,1,3,0,25,1,1,1,1,213,83,120,94,100,30,0,200,266,2
2,0,1,87,1,1,5,2,1,2,1,2,0,20,2,1,1,1,214,100,60,130,133,30,0,182,68,2
2,0,1,88,1,1,6,1,1,3,1,3,1,1,25,1,1,1,243,3780,60,78,5040,20,0,165,214,2
2,0,1,89,1,1,6,1,1,3,1,3,1,2,1,1,1,1,112,5040,60,54,5040,20,0,96,60,2
2,0,1,90,1,1,6,1,1,4,1,1,1,1,17,1,0,1,97,5040,120,44,5460,20,0,0,0,2
2,0,1,91,1,1,6,2,1,1,1,2,1,2,1,1,1,1,77,5040,120,22,5460,20,0,117,120,2
2,0,1,92,1,1,6,2,1,2,1,2,1,1,17,1,1,1,117,4200,30,54,5040,10,0,80,24,2
2,0,1,93,1,1,6,2,1,3,1,3,1,1,2,1,1,1,136,5040,120,81,5460,20,0,104,50,2
2,0,1,94,1,1,6,2,1,3,1,3,1,1,17,1,1,1,93,3780,30,53,5460,30,0,60,100,2
2,0,1,95,1,1,6,2,1,3,1,3,1,2,1,1,1,1,121,4200,60,49,5460,10,0,96,80,2
2,0,1,96,1,1,6,2,1,3,1,3,1,19,17,1,1,1,112,3780,60,63,5460,10,0,130,195,2
2,0,1,97,1,1,6,2,1,4,1,3,1,1,2,1,1,1,152,4200,60,74,5460,10,0,72,65,1
2,0,1,98,1,1,6,2,3,2,1,3,1,10,1,1,1,1,167,5040,30,99,5460,30,0,64,195,2
2,0,1,99,1,1,6,3,1,3,1,3,1,1,17,1,1,1,116,4200,60,63,6720,30,0,70,45,1
2,0,1,100,1,1,6,3,1,4,0,3,1,22,2,1,0,1,82,4200,120,31,5460,20,0,0,0,1
2,0,1,101,1,1,6,3,1,4,1,4,1,2,1,1,1,1,86,3780,30,43,5460,30,0,75,25,1
2,0,1,102,1,1,8,1,1,3,0,3,0,1,17,1,1,1,103,134,120,40,194,20,1,48,32,2
2,0,1,103,1,1,8,2,1,3,0,2,0,25,22,1,0,1,54,174,120,32,209,30,0,0,0,2
2,0,1,104,1,1,8,2,1,3,1,3,0,17,1,1,1,1,97,266,120,44,289,20,0,78,40,2
2,0,1,105,1,1,10,2,1,2,0,3,0,25,23,1,1,1,131,203,60,91,271,20,0,90,58,2
2,0,1,106,2,0,1,1,0,3,0,2,0,8,10,1,1,1,164,52,60,142,56,20,1,195,65,2
2,0,1,107,2,0,1,1,1,2,0,1,0,1,2,1,1,1,138,36,30,83,42,10,1,96,60,2
2,0,1,108,2,0,1,1,1,2,0,2,0,1,2,1,0,1,98,43,60,52,49,10,1,0,0,2
2,0,1,109,2,0,1,1,1,2,0,2,0,1,10,1,0,1,173,54,60,108,64,30,0,0,0,2
2,0,1,110,2,0,1,1,1,2,1,3,0,25,1,1,0,1,192,74,120,63,82,20,0,0,0,2
2,0,1,111,2,0,1,1,1,3,0,1,0,1,2,1,1,1,136,46,30,61,50,30,0,72,65,2
2,0,1,112,2,0,1,1,1,3,0,2,0,1,2,1,1,1,98,35,30,33,42,10,0,90,12,2
2,0,1,113,2,0,1,1,1,3,1,1,0,25,10,1,0,1,88,38,60,85,42,10,1,0,0,1
2,0,1,114,2,0,1,1,1,3,1,4,0,22,2,1,0,1,123,30,30,54,38,30,0,0,0,2
2,0,1,115,2,0,1,2,1,2,1,2,0,25,23,1,1,1,79,54,120,65,56,10,0,120,90,2
2,0,1,116,2,0,1,2,3,3,0,3,0,25,2,1,0,1,150,48,120,48,52,30,1,0,0,2
2,0,1,117,2,0,1,3,1,2,0,4,0,1,2,1,1,1,148,40,120,70,52,10,1,97,78,2
2,0,1,118,2,0,1,3,1,3,0,2,0,2,22,1,0,1,103,25,60,31,32,10,0,0,0,2
2,0,1,119,2,0,2,1,1,1,1,4,0,23,2,1,1,1,162,22,30,85,24,10,0,60,28,2
2,0,1,120,2,0,2,2,1,1,1,1,0,25,22,1,1,1,68,10,120,42,14,10,0,50,19,2
2,0,1,121,2,0,2,2,1,4,1,3,0,22,25,1,1,1,72,12,120,48,15,20,0,52,60,2
2,0,1,122,2,0,2,2,3,2,1,4,0,23,25,1,1,1,108,20,30,70,23,10,0,100,32,2
2,0,1,123,2,0,3,1,1,1,0,1,0,1,2,1,0,1,130,91,60,72,98,20,0,0,0,2
2,0,1,124,2,0,3,1,1,2,1,1,0,1,17,1,0,1,90,39,30,48,52,30,0,0,0,2
2,0,1,125,2,0,3,1,1,2,1,1,0,19,2,1,1,1,114,100,30,67,103,10,0,117,65,2
2,0,1,126,2,0,3,2,0,1,0,1,0,1,25,1,1,1,67,103,120,37,111,20,1,168,40,2
2,0,1,127,2,0,4,2,0,5,1,1,0,25,22,1,1,1,105,31,120,79,42,10,0,70,16,2
2,0,1,128,2,0,4,3,1,1,1,1,0,1,10,1,0,1,107,45,60,37,52,20,0,0,0,2
2,0,1,129,2,0,5,2,1,2,1,1,0,2,25,1,1,1,137,50,120,67,60,30,0,80,52,2
2,0,1,130,2,0,6,1,0,2,1,4,1,2,22,1,1,1,74,2340,30,30,3380,30,0,60,45,1
2,0,1,131,2,0,6,1,1,1,0,4,1,2,1,1,0,1,102,2600,120,54,3380,20,0,0,0,2
2,0,1,132,2,0,6,1,1,1,0,4,1,25,22,1,1,1,51,3120,120,32,4160,10,0,40,12,1
2,0,1,133,2,0,6,1,1,2,0,1,1,2,1,1,0,1,99,2600,60,44,4160,30,0,0,0,1
2,0,1,134,2,0,6,1,1,2,0,1,1,2,17,1,0,1,216,2600,30,138,3120,10,0,0,0,2
2,0,1,135,2,0,6,1,1,2,0,1,1,17,1,1,1,1,92,2340,120,36,4160,10,0,60,28,2
2,0,1,136,2,0,6,1,1,2,0,1,1,19,1,1,0,1,110,2340,30,68,3380,30,0,0,0,1
2,0,1,137,2,0,6,1,1,2,0,1,1,22,25,1,0,1,58,2340,60,25,3120,20,0,0,0,2
2,0,1,138,2,0,6,1,1,2,0,2,1,1,2,1,1,1,103,2600,60,31,3380,10,0,60,40,2
2,0,1,139,2,0,6,1,1,2,0,2,1,22,25,1,0,1,52,3120,30,30,4160,20,1,0,0,1
2,0,1,140,2,0,6,1,1,2,0,3,1,25,22,1,1,1,54,3120,30,31,3120,10,0,78,32,2
2,0,1,141,2,0,6,1,1,2,0,4,1,1,17,1,0,1,95,2340,120,49,3120,30,0,0,0,2
2,0,1,142,2,0,6,1,1,2,0,4,1,23,2,1,0,1,158,2340,120,83,3380,20,1,0,0,1
2,0,1,143,2,0,6,1,1,2,1,1,1,2,22,1,0,1,108,2340,120,43,3380,20,1,0,0,2
2,0,1,144,2,0,6,1,1,2,1,1,1,22,1,1,0,1,191,3120,60,62,4160,30,0,0,0,2
2,0,1,145,2,0,6,1,1,2,1,2,1,1,2,1,1,1,90,2600,30,32,3380,30,1,143,80,2
2,0,1,146,2,0,6,1,1,2,1,2,1,25,22,1,0,1,51,2600,30,30,4160,20,0,0,0,1
2,0,1,147,2,0,6,1,1,2,1,4,1,2,25,1,0,1,154,2600,60,52,3380,10,0,0,0,1
2,0,1,148,2,0,6,1,1,2,1,4,1,22,2,1,1,1,82,2600,120,31,3380,20,0,60,52,1
2,0,1,149,2,0,6,1,1,3,1,2,1,25,22,1,1,1,51,2340,60,28,4160,30,1,32,32,1
2,0,1,150,2,0,6,1,1,3,1,3,1,2,1,1,1,1,75,3120,120,31,4160,10,0,72,100,2
2,0,1,151,2,0,6,1,1,3,1,3,1,25,22,1,1,1,55,2340,120,29,4160,10,0,40,28,2
2,0,1,152,2,0,6,2,1,2,0,1,1,22,25,1,1,1,81,2600,120,59,3120,30,0,48,52,1
2,0,1,153,2,0,6,2,1,2,1,3,1,25,2,1,1,1,171,2600,60,69,3380,10,0,96,50,2
2,0,1,154,2,0,6,3,1,2,0,1,1,25,22,1,1,1,44,2340,30,20,3120,10,1,40,25,2
2,0,1,155,2,0,6,3,1,2,0,2,1,25,22,1,1,1,61,3120,120,28,3120,30,1,50,60,2
2,0,1,156,2,0,6,3,1,2,1,2,1,1,2,1,1,1,110,3120,120,69,4160,10,0,80,150,2
2,0,1,157,2,0,6,3,1,2,1,2,1,22,25,1,0,1,55,2340,60,33,3380,10,0,0,0,2
2,0,1,158,2,0,6,3,1,3,1,3,1,22,25,1,0,1,76,2600,60,43,3380,10,0,0,0,2
2,0,1,159,2,0,7,1,1,1,0,1,1,2,22,1,0,1,103,2220,30,34,2405,30,0,0,0,2
2,0,1,160,2,0,7,1,1,1,1,1,1,2,22,1,0,1,84,2220,30,33,2960,20,1,0,0,1
2,0,1,161,2,0,7,1,1,1,1,2,1,22,25,1,0,1,74,1850,120,52,2220,30,0,0,0,2
2,0,1,162,2,0,7,1,1,1,1,2,1,22,25,1,1,1,47,1850,60,23,2960,30,0,60,30,1
2,0,1,163,2,0,7,1,1,1,1,1,1,22,2,1,0,1,71,1665,30,27,2405,30,0,0,0,1
2,0,1,164,2,0,7,1,3,1,1,4,1,2,22,1,0,1,99,1665,30,27,2960,20,0,0,0,2
2,0,1,165,2,0,7,2,1,1,0,1,1,1,2,1,0,1,107,2220,60,59,2405,10,1,0,0,1
2,0,1,166,2,0,8,1,1,1,0,4,0,22,25,1,1,1,46,208,30,24,277,20,1,40,26,1
2,0,1,167,2,0,8,1,1,2,0,1,0,17,1,1,0,1,90,307,120,37,333,20,0,0,0,2
2,0,1,168,2,0,8,1,1,2,0,1,0,22,25,1,0,1,76,252,120,43,403,10,1,0,0,1
2,0,1,169,2,0,8,1,1,2,0,2,0,22,25,1,1,1,59,92,120,30,133,20,1,32,20,2
2,0,1,170,2,0,8,1,1,2,0,3,0,22,25,1,1,1,54,268,30,31,268,10,0,117,45,2
2,0,1,171,2,0,8,1,1,2,0,3,0,25,22,1,1,1,76,221,30,57,320,30,0,60,40,1
2,0,1,172,2,0,8,1,1,2,1,2,0,22,25,1,0,1,76,201,60,45,268,20,0,0,0,2
2,0,1,173,2,0,8,1,1,2,1,2,0,22,25,1,0,1,66,201,30,47,290,30,0,0,0,1
2,0,1,174,2,0,8,1,1,2,1,2,0,25,22,1,1,1,49,282,30,27,376,20,1,40,39,1
2,0,1,175,2,0,8,1,1,2,1,3,0,22,25,1,0,1,61,199,30,32,239,10,0,0,0,2
2,0,1,176,2,0,8,1,1,4,0,1,1,22,25,1,1,1,46,2408,60,20,2408,20,0,32,20,2
2,0,1,177,2,0,8,2,1,2,0,2,0,25,22,1,1,1,74,211,30,41,376,20,0,78,30,2
2,0,1,178,2,0,8,2,1,2,1,1,0,22,25,1,1,1,52,300,120,31,390,20,0,60,52,2
2,0,1,179,2,0,8,2,1,2,1,3,0,25,22,1,1,1,66,223,30,37,268,10,0,40,24,2
2,0,1,180,2,0,8,3,1,2,0,1,0,22,25,1,1,1,53,257,60,36,308,20,1,78,40,2
2,0,1,181,2,0,8,3,1,2,0,2,0,22,25,1,1,1,58,295,60,32,295,20,0,48,32,2
2,0,1,182,2,0,10,1,1,2,0,2,0,1,17,1,1,1,95,150,30,52,240,20,0,48,32,3
2,0,1,183,2,0,10,2,1,1,0,1,1,22,25,1,1,1,61,1800,30,30,1950,30,0,40,39,2
2,0,1,184,2,1,1,1,0,3,0,1,0,2,1,1,0,1,171,61,60,94,71,20,0,0,0,2
2,0,1,185,2,1,1,1,1,2,0,2,0,1,2,1,1,1,99,54,120,41,78,10,0,80,40,2
2,0,1,186,2,1,1,1,1,2,1,4,0,10,25,1,0,1,113,49,30,102,54,10,1,0,0,1
2,0,1,187,2,1,1,1,1,3,1,3,0,17,2,1,1,1,172,94,120,92,94,30,1,120,140,2
2,0,1,188,2,1,1,2,0,2,1,2,0,1,25,1,0,1,225,126,60,88,133,20,0,0,0,2
2,0,1,189,2,1,1,2,1,2,1,1,0,25,22,1,1,1,61,35,120,28,38,30,1,40,25,2
2,0,1,190,2,1,1,3,1,3,1,3,0,17,2,1,1,1,164,76,120,118,84,30,0,96,91,2
2,0,1,191,2,1,2,2,1,3,1,3,0,25,22,1,0,1,61,17,120,30,26,10,1,0,0,2
2,0,1,192,2,1,3,1,1,2,1,1,0,22,1,1,1,1,186,158,30,78,184,10,1,120,85,1
2,0,1,193,2,1,3,2,1,2,0,2,0,22,25,1,1,1,76,70,120,43,77,30,1,60,30,2
2,0,1,194,2,1,5,2,1,1,1,4,0,17,25,1,0,1,275,83,60,87,133,30,0,0,0,2
2,0,1,195,2,1,5,2,1,2,1,3,0,19,25,1,1,1,59,100,120,35,108,20,0,156,110,2
2,0,1,196,2,1,5,2,1,3,0,3,0,25,2,1,1,1,135,100,120,59,108,20,0,156,100,2
2,0,1,197,2,1,5,2,1,2,0,2,0,25,22,1,0,1,49,100,30,27,133,20,1,0,0,1
2,0,1,198,2,1,6,1,1,2,1,2,1,2,1,1,1,1,92,3780,60,42,6720,30,1,72,65,1
2,0,1,200,2,1,6,1,1,3,1,2,1,17,1,1,0,1,87,3780,60,38,5460,10,0,0,0,1
2,0,1,201,2,1,6,1,1,3,1,3,1,22,22,1,1,1,63,5040,60,46,5460,10,1,50,28,2
2,0,1,202,2,1,6,1,1,3,1,3,1,22,25,1,1,1,62,4200,120,40,5040,30,0,48,195,2
2,0,1,203,2,1,6,1,1,3,1,3,1,23,25,1,1,1,86,4200,120,68,5460,20,0,120,91,1
2,0,1,204,2,1,6,2,0,3,1,3,1,22,25,1,0,1,57,3780,30,33,5040,10,1,0,0,2
2,0,1,205,2,1,6,2,1,2,1,3,1,1,17,1,1,1,102,5040,60,39,6720,30,0,78,24,2
2,0,1,206,2,1,6,2,1,2,1,3,1,25,22,1,0,1,64,5040,30,42,6720,20,1,0,0,1
2,0,1,207,2,1,6,2,1,3,1,3,1,25,23,1,1,1,112,4200,30,74,5040,10,0,80,96,2
2,0,1,208,2,1,6,2,1,3,1,4,1,22,25,1,1,1,81,5040,30,59,6720,20,1,100,65,1
2,0,1,209,2,1,6,2,1,4,0,2,1,22,25,1,1,1,61,3780,60,38,6720,30,1,40,39,2
2,0,1,210,2,1,6,3,1,2,1,2,1,1,17,1,1,1,88,3780,30,46,5460,30,0,60,70,1
2,0,1,211,2,1,6,3,1,2,1,4,1,1,2,1,0,1,112,3780,60,61,5460,10,0,0,0,2
2,0,1,212,2,1,6,3,1,4,1,3,1,25,22,1,0,1,69,4200,30,43,5460,30,1,0,0,2
2,0,1,213,2,1,8,1,1,1,1,1,0,25,22,1,1,1,56,154,30,37,222,30,0,50,20,2
2,0,1,214,2,1,8,2,0,2,0,2,0,25,22,1,1,1,41,443,60,20,480,10,1,50,20,3
2,0,1,215,2,1,8,2,1,2,1,2,0,22,25,1,1,1,54,315,30,30,420,10,1,40,25,2
2,0,1,216,2,1,8,2,1,3,0,1,0,23,25,1,0,1,73,464,60,57,557,20,1,0,0,2
2,0,1,217,2,1,10,1,1,3,1,3,0,22,25,1,1,1,41,35,30,12,42,10,0,40,64,1
2,0,1,218,2,1,10,3,1,5,1,3,0,22,25,1,1,1,42,174,120,19,226,20,0,40,109,1
2,0,1,219,3,0,1,1,0,2,0,2,0,1,25,1,0,1,229,58,120,92,82,10,0,0,0,2
2,0,1,220,3,0,1,1,0,2,1,2,0,25,22,1,0,1,44,16,60,21,24,30,1,0,0,2
2,0,1,221,3,0,1,1,0,4,0,2,0,2,22,1,1,1,82,25,120,31,32,20,0,70,26,2
2,0,1,222,3,0,1,1,0,1,1,1,0,25,1,1,0,1,227,59,120,92,82,10,0,0,0,1
2,0,1,223,3,0,1,1,0,3,0,1,0,1,22,1,0,1,280,68,30,126,78,30,0,0,0,2
2,0,1,224,3,0,1,1,0,3,1,2,0,10,25,1,1,1,88,35,60,53,43,30,0,104,28,2
2,0,1,225,3,0,1,1,0,2,0,2,0,2,1,1,0,1,249,34,30,194,40,10,1,0,0,1
2,0,1,226,3,0,1,1,1,1,0,1,0,2,22,1,0,1,116,35,30,73,45,20,0,0,0,1
2,0,1,227,3,0,1,1,1,1,1,1,0,1,17,1,0,1,112,26,30,56,32,30,1,0,0,2
2,0,1,228,3,0,1,1,1,1,1,1,0,2,1,1,0,1,107,38,120,38,52,10,1,0,0,1
2,0,1,229,3,0,1,1,1,1,1,1,0,25,2,1,0,1,140,58,120,84,70,10,0,0,0,2
2,0,1,230,3,0,1,1,1,2,0,1,0,17,1,1,0,1,83,26,120,43,38,10,0,0,0,2
2,0,1,231,3,0,1,1,1,2,0,1,0,25,2,1,1,1,122,36,30,46,42,10,1,88,65,2
2,0,1,232,3,0,1,1,1,2,1,1,0,22,25,1,0,1,70,24,30,39,26,10,0,0,0,2
2,0,1,233,3,0,1,1,1,2,1,1,0,25,22,1,0,1,61,16,120,38,21,20,0,0,0,2
2,0,1,234,3,0,1,1,1,2,1,2,0,1,17,1,0,1,130,26,30,59,35,30,0,0,0,2
2,0,1,235,3,0,1,1,1,2,1,2,0,20,10,1,1,1,234,67,30,174,74,10,0,221,130,2
2,0,1,236,3,0,1,1,1,3,0,1,0,20,1,1,0,1,151,35,120,71,40,30,1,0,0,2
2,0,1,237,3,0,1,1,1,3,1,1,0,22,1,1,1,1,190,65,60,101,74,10,1,160,80,1
2,0,1,238,3,0,1,1,1,3,1,2,0,22,1,1,1,1,184,51,60,84,62,10,0,247,123,1
2,0,1,239,3,0,1,1,1,4,0,2,0,22,25,1,0,1,148,31,60,107,42,30,0,0,0,2
2,0,1,240,3,0,1,1,1,4,0,2,0,22,25,1,1,1,74,18,30,48,22,30,1,65,20,2
2,0,1,241,3,0,1,1,1,4,0,2,0,25,1,1,1,1,266,74,120,93,78,30,1,190,130,1
